INFO 2025-02-23 17:21:40,174 autoreload 10820 1704 Watching for file changes with StatReloader
DEBUG 2025-02-23 17:21:40,337 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.date_time`.
DEBUG 2025-02-23 17:21:40,339 factory 10820 1704 Provider `faker.providers.date_time` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,339 factory 10820 1704 Provider `faker.providers.emoji` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:21:40,339 factory 10820 1704 Provider `faker.providers.file` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:21:40,339 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.geo`.
DEBUG 2025-02-23 17:21:40,341 factory 10820 1704 Specified locale `zh_CN` is not available for provider `faker.providers.geo`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:21:40,341 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.internet`.
DEBUG 2025-02-23 17:21:40,342 factory 10820 1704 Provider `faker.providers.internet` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,343 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.isbn`.
DEBUG 2025-02-23 17:21:40,343 factory 10820 1704 Specified locale `zh_CN` is not available for provider `faker.providers.isbn`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:21:40,344 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.job`.
DEBUG 2025-02-23 17:21:40,345 factory 10820 1704 Provider `faker.providers.job` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,346 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.lorem`.
DEBUG 2025-02-23 17:21:40,347 factory 10820 1704 Provider `faker.providers.lorem` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,348 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.misc`.
DEBUG 2025-02-23 17:21:40,348 factory 10820 1704 Specified locale `zh_CN` is not available for provider `faker.providers.misc`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:21:40,349 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.passport`.
DEBUG 2025-02-23 17:21:40,349 factory 10820 1704 Specified locale `zh_CN` is not available for provider `faker.providers.passport`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:21:40,350 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.person`.
DEBUG 2025-02-23 17:21:40,352 factory 10820 1704 Provider `faker.providers.person` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,352 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.phone_number`.
DEBUG 2025-02-23 17:21:40,354 factory 10820 1704 Provider `faker.providers.phone_number` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,355 factory 10820 1704 Provider `faker.providers.profile` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:21:40,355 factory 10820 1704 Provider `faker.providers.python` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:21:40,355 factory 10820 1704 Provider `faker.providers.sbn` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:21:40,355 factory 10820 1704 Looking for locale `zh_CN` in provider `faker.providers.ssn`.
DEBUG 2025-02-23 17:21:40,357 factory 10820 1704 Provider `faker.providers.ssn` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:21:40,359 factory 10820 1704 Provider `faker.providers.user_agent` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:21:54,622 middleware 10820 9760 Request path: /mockdata/mock-data-file/
DEBUG 2025-02-23 17:21:54,623 middleware 10820 9760 Request method: POST
DEBUG 2025-02-23 17:21:54,623 middleware 10820 9760 Request headers: {'Content-Length': '58', 'Content-Type': 'application/json', 'Host': '127.0.0.1:8000', 'Connection': 'keep-alive', 'Sec-Ch-Ua-Platform': '"Windows"', 'Authorization': 'Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90eXBlIjoiYWNjZXNzIiwiZXhwIjoxNzQwMzc3NzI0LCJpYXQiOjE3NDAyOTEzMjQsImp0aSI6Ijc4MzhlZmNmOGM1YTQzMDE4ODNmZWExOTVlZWYzZGJkIiwidXNlcl9pZCI6MiwidXNlcl91aWQiOiI2MDA2MDIifQ.g46bE3otfqgqstYkHFxjh-Ir2z2i0sf9dRghkq82clY', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36', 'Accept': 'application/json, application/octet-stream', 'Sec-Ch-Ua': '"Not(A:Brand";v="99", "Google Chrome";v="133", "Chromium";v="133"', 'Sec-Ch-Ua-Mobile': '?0', 'Origin': 'http://localhost:3000', 'Sec-Fetch-Site': 'cross-site', 'Sec-Fetch-Mode': 'cors', 'Sec-Fetch-Dest': 'empty', 'Referer': 'http://localhost:3000/', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept-Language': 'zh-CN,zh;q=0.9'}
INFO 2025-02-23 17:21:54,642 views 10820 9760 开始生成数据，列：['email']，行数：2
INFO 2025-02-23 17:21:54,642 views 10820 9760 开始生成数据，列：['email']，行数：2
INFO 2025-02-23 17:21:54,644 views 10820 9760 生成数据 - 列：email，值：ligong@example.com
INFO 2025-02-23 17:21:54,644 views 10820 9760 生成数据 - 列：email，值：ligong@example.com
INFO 2025-02-23 17:21:54,644 views 10820 9760 第 1 行数据：['ligong@example.com']
INFO 2025-02-23 17:21:54,644 views 10820 9760 第 1 行数据：['ligong@example.com']
INFO 2025-02-23 17:21:54,644 views 10820 9760 生成数据 - 列：email，值：xiacai@example.net
INFO 2025-02-23 17:21:54,644 views 10820 9760 生成数据 - 列：email，值：xiacai@example.net
INFO 2025-02-23 17:21:54,644 views 10820 9760 第 2 行数据：['xiacai@example.net']
INFO 2025-02-23 17:21:54,644 views 10820 9760 第 2 行数据：['xiacai@example.net']
INFO 2025-02-23 17:21:54,644 views 10820 9760 数据生成完成，总行数：2
INFO 2025-02-23 17:21:54,644 views 10820 9760 数据生成完成，总行数：2
INFO 2025-02-23 17:21:54,645 views 10820 9760 写入表头：['email']
INFO 2025-02-23 17:21:54,645 views 10820 9760 写入表头：['email']
INFO 2025-02-23 17:21:54,645 views 10820 9760 写入数据行：['ligong@example.com']
INFO 2025-02-23 17:21:54,645 views 10820 9760 写入数据行：['ligong@example.com']
INFO 2025-02-23 17:21:54,645 views 10820 9760 写入数据行：['xiacai@example.net']
INFO 2025-02-23 17:21:54,645 views 10820 9760 写入数据行：['xiacai@example.net']
INFO 2025-02-23 17:21:54,645 views 10820 9760 生成的CSV内容：
email
ligong@example.com
xiacai@example.net

INFO 2025-02-23 17:21:54,645 views 10820 9760 生成的CSV内容：
email
ligong@example.com
xiacai@example.net

INFO 2025-02-23 17:23:36,789 autoreload 10820 1704 P:\apps\djangoQAEP\mockData\views.py changed, reloading.
INFO 2025-02-23 17:23:37,205 autoreload 8312 11948 Watching for file changes with StatReloader
DEBUG 2025-02-23 17:23:37,366 factory 8312 11948 Not in REPL -> leaving logger event level as is.
DEBUG 2025-02-23 17:23:37,368 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.address`.
DEBUG 2025-02-23 17:23:37,370 factory 8312 11948 Provider `faker.providers.address` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,370 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.automotive`.
DEBUG 2025-02-23 17:23:37,373 factory 8312 11948 Provider `faker.providers.automotive` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,373 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.bank`.
DEBUG 2025-02-23 17:23:37,375 factory 8312 11948 Provider `faker.providers.bank` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,375 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.barcode`.
DEBUG 2025-02-23 17:23:37,376 factory 8312 11948 Specified locale `zh_CN` is not available for provider `faker.providers.barcode`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:23:37,376 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.color`.
DEBUG 2025-02-23 17:23:37,378 factory 8312 11948 Specified locale `zh_CN` is not available for provider `faker.providers.color`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:23:37,378 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.company`.
DEBUG 2025-02-23 17:23:37,380 factory 8312 11948 Provider `faker.providers.company` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,380 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.credit_card`.
DEBUG 2025-02-23 17:23:37,380 factory 8312 11948 Specified locale `zh_CN` is not available for provider `faker.providers.credit_card`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:23:37,381 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.currency`.
DEBUG 2025-02-23 17:23:37,383 factory 8312 11948 Specified locale `zh_CN` is not available for provider `faker.providers.currency`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:23:37,384 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.date_time`.
DEBUG 2025-02-23 17:23:37,385 factory 8312 11948 Provider `faker.providers.date_time` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,386 factory 8312 11948 Provider `faker.providers.emoji` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:23:37,386 factory 8312 11948 Provider `faker.providers.file` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:23:37,387 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.geo`.
DEBUG 2025-02-23 17:23:37,387 factory 8312 11948 Specified locale `zh_CN` is not available for provider `faker.providers.geo`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:23:37,388 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.internet`.
DEBUG 2025-02-23 17:23:37,390 factory 8312 11948 Provider `faker.providers.internet` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,390 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.isbn`.
DEBUG 2025-02-23 17:23:37,390 factory 8312 11948 Specified locale `zh_CN` is not available for provider `faker.providers.isbn`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:23:37,391 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.job`.
DEBUG 2025-02-23 17:23:37,392 factory 8312 11948 Provider `faker.providers.job` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,393 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.lorem`.
DEBUG 2025-02-23 17:23:37,394 factory 8312 11948 Provider `faker.providers.lorem` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,394 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.misc`.
DEBUG 2025-02-23 17:23:37,395 factory 8312 11948 Specified locale `zh_CN` is not available for provider `faker.providers.misc`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:23:37,396 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.passport`.
DEBUG 2025-02-23 17:23:37,396 factory 8312 11948 Specified locale `zh_CN` is not available for provider `faker.providers.passport`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:23:37,397 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.person`.
DEBUG 2025-02-23 17:23:37,400 factory 8312 11948 Provider `faker.providers.person` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,401 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.phone_number`.
DEBUG 2025-02-23 17:23:37,403 factory 8312 11948 Provider `faker.providers.phone_number` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,404 factory 8312 11948 Provider `faker.providers.profile` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:23:37,404 factory 8312 11948 Provider `faker.providers.python` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:23:37,405 factory 8312 11948 Provider `faker.providers.sbn` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:23:37,405 factory 8312 11948 Looking for locale `zh_CN` in provider `faker.providers.ssn`.
DEBUG 2025-02-23 17:23:37,407 factory 8312 11948 Provider `faker.providers.ssn` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:23:37,408 factory 8312 11948 Provider `faker.providers.user_agent` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:23:42,971 middleware 8312 13208 Request path: /mockdata/mock-data-file/
DEBUG 2025-02-23 17:23:42,971 middleware 8312 13208 Request method: POST
DEBUG 2025-02-23 17:23:42,971 middleware 8312 13208 Request headers: {'Content-Length': '58', 'Content-Type': 'application/json', 'Host': '127.0.0.1:8000', 'Connection': 'keep-alive', 'Sec-Ch-Ua-Platform': '"Windows"', 'Authorization': 'Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90eXBlIjoiYWNjZXNzIiwiZXhwIjoxNzQwMzc3NzI0LCJpYXQiOjE3NDAyOTEzMjQsImp0aSI6Ijc4MzhlZmNmOGM1YTQzMDE4ODNmZWExOTVlZWYzZGJkIiwidXNlcl9pZCI6MiwidXNlcl91aWQiOiI2MDA2MDIifQ.g46bE3otfqgqstYkHFxjh-Ir2z2i0sf9dRghkq82clY', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36', 'Accept': 'application/json, application/octet-stream', 'Sec-Ch-Ua': '"Not(A:Brand";v="99", "Google Chrome";v="133", "Chromium";v="133"', 'Sec-Ch-Ua-Mobile': '?0', 'Origin': 'http://localhost:3000', 'Sec-Fetch-Site': 'cross-site', 'Sec-Fetch-Mode': 'cors', 'Sec-Fetch-Dest': 'empty', 'Referer': 'http://localhost:3000/', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept-Language': 'zh-CN,zh;q=0.9'}
INFO 2025-02-23 17:23:42,979 views 8312 13208 开始生成数据，列：['email']，行数：2
INFO 2025-02-23 17:23:42,979 views 8312 13208 开始生成数据，列：['email']，行数：2
INFO 2025-02-23 17:23:42,980 views 8312 13208 生成数据 - 列：email，值：yong45@example.org
INFO 2025-02-23 17:23:42,980 views 8312 13208 生成数据 - 列：email，值：yong45@example.org
INFO 2025-02-23 17:23:42,980 views 8312 13208 第 1 行数据：['yong45@example.org']
INFO 2025-02-23 17:23:42,980 views 8312 13208 第 1 行数据：['yong45@example.org']
INFO 2025-02-23 17:23:42,980 views 8312 13208 生成数据 - 列：email，值：zengxia@example.net
INFO 2025-02-23 17:23:42,980 views 8312 13208 生成数据 - 列：email，值：zengxia@example.net
INFO 2025-02-23 17:23:42,981 views 8312 13208 第 2 行数据：['zengxia@example.net']
INFO 2025-02-23 17:23:42,981 views 8312 13208 第 2 行数据：['zengxia@example.net']
INFO 2025-02-23 17:23:42,981 views 8312 13208 数据生成完成，总行数：2
INFO 2025-02-23 17:23:42,981 views 8312 13208 数据生成完成，总行数：2
ERROR 2025-02-23 17:23:42,982 views 8312 13208 生成文件失败：cannot access local variable 'filename' where it is not associated with a value
ERROR 2025-02-23 17:23:42,982 views 8312 13208 生成文件失败：cannot access local variable 'filename' where it is not associated with a value
ERROR 2025-02-23 17:23:42,983 views 8312 13208 详细错误信息：
Traceback (most recent call last):
  File "P:\apps\djangoQAEP\mockData\views.py", line 498, in download_mock_data
    'Content-Disposition': f'attachment; filename="{filename}"',
                                                    ^^^^^^^^
UnboundLocalError: cannot access local variable 'filename' where it is not associated with a value
ERROR 2025-02-23 17:23:42,983 views 8312 13208 详细错误信息：
Traceback (most recent call last):
  File "P:\apps\djangoQAEP\mockData\views.py", line 498, in download_mock_data
    'Content-Disposition': f'attachment; filename="{filename}"',
                                                    ^^^^^^^^
UnboundLocalError: cannot access local variable 'filename' where it is not associated with a value
INFO 2025-02-23 17:24:14,041 autoreload 8312 11948 P:\apps\djangoQAEP\mockData\views.py changed, reloading.
INFO 2025-02-23 17:24:14,474 autoreload 14568 22392 Watching for file changes with StatReloader
DEBUG 2025-02-23 17:24:14,623 factory 14568 22392 Not in REPL -> leaving logger event level as is.
DEBUG 2025-02-23 17:24:14,626 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.address`.
DEBUG 2025-02-23 17:24:14,628 factory 14568 22392 Provider `faker.providers.address` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,629 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.automotive`.
DEBUG 2025-02-23 17:24:14,630 factory 14568 22392 Provider `faker.providers.automotive` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,631 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.bank`.
DEBUG 2025-02-23 17:24:14,632 factory 14568 22392 Provider `faker.providers.bank` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,632 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.barcode`.
DEBUG 2025-02-23 17:24:14,633 factory 14568 22392 Specified locale `zh_CN` is not available for provider `faker.providers.barcode`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:24:14,634 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.color`.
DEBUG 2025-02-23 17:24:14,635 factory 14568 22392 Specified locale `zh_CN` is not available for provider `faker.providers.color`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:24:14,635 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.company`.
DEBUG 2025-02-23 17:24:14,637 factory 14568 22392 Provider `faker.providers.company` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,637 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.credit_card`.
DEBUG 2025-02-23 17:24:14,638 factory 14568 22392 Specified locale `zh_CN` is not available for provider `faker.providers.credit_card`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:24:14,638 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.currency`.
DEBUG 2025-02-23 17:24:14,640 factory 14568 22392 Specified locale `zh_CN` is not available for provider `faker.providers.currency`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:24:14,640 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.date_time`.
DEBUG 2025-02-23 17:24:14,642 factory 14568 22392 Provider `faker.providers.date_time` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,642 factory 14568 22392 Provider `faker.providers.emoji` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:24:14,643 factory 14568 22392 Provider `faker.providers.file` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:24:14,643 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.geo`.
DEBUG 2025-02-23 17:24:14,643 factory 14568 22392 Specified locale `zh_CN` is not available for provider `faker.providers.geo`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:24:14,643 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.internet`.
DEBUG 2025-02-23 17:24:14,646 factory 14568 22392 Provider `faker.providers.internet` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,647 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.isbn`.
DEBUG 2025-02-23 17:24:14,647 factory 14568 22392 Specified locale `zh_CN` is not available for provider `faker.providers.isbn`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:24:14,647 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.job`.
DEBUG 2025-02-23 17:24:14,649 factory 14568 22392 Provider `faker.providers.job` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,649 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.lorem`.
DEBUG 2025-02-23 17:24:14,650 factory 14568 22392 Provider `faker.providers.lorem` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,650 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.misc`.
DEBUG 2025-02-23 17:24:14,651 factory 14568 22392 Specified locale `zh_CN` is not available for provider `faker.providers.misc`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:24:14,651 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.passport`.
DEBUG 2025-02-23 17:24:14,651 factory 14568 22392 Specified locale `zh_CN` is not available for provider `faker.providers.passport`. Locale reset to `en_US` for this provider.
DEBUG 2025-02-23 17:24:14,653 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.person`.
DEBUG 2025-02-23 17:24:14,656 factory 14568 22392 Provider `faker.providers.person` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,656 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.phone_number`.
DEBUG 2025-02-23 17:24:14,659 factory 14568 22392 Provider `faker.providers.phone_number` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,659 factory 14568 22392 Provider `faker.providers.profile` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:24:14,659 factory 14568 22392 Provider `faker.providers.python` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:24:14,660 factory 14568 22392 Provider `faker.providers.sbn` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:24:14,660 factory 14568 22392 Looking for locale `zh_CN` in provider `faker.providers.ssn`.
DEBUG 2025-02-23 17:24:14,661 factory 14568 22392 Provider `faker.providers.ssn` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:24:14,663 factory 14568 22392 Provider `faker.providers.user_agent` does not feature localization. Specified locale `zh_CN` is not utilized for this provider.
DEBUG 2025-02-23 17:24:20,509 middleware 14568 21892 Request path: /mockdata/mock-data-file/
DEBUG 2025-02-23 17:24:20,511 middleware 14568 21892 Request method: POST
DEBUG 2025-02-23 17:24:20,511 middleware 14568 21892 Request headers: {'Content-Length': '58', 'Content-Type': 'application/json', 'Host': '127.0.0.1:8000', 'Connection': 'keep-alive', 'Sec-Ch-Ua-Platform': '"Windows"', 'Authorization': 'Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ0b2tlbl90eXBlIjoiYWNjZXNzIiwiZXhwIjoxNzQwMzc3NzI0LCJpYXQiOjE3NDAyOTEzMjQsImp0aSI6Ijc4MzhlZmNmOGM1YTQzMDE4ODNmZWExOTVlZWYzZGJkIiwidXNlcl9pZCI6MiwidXNlcl91aWQiOiI2MDA2MDIifQ.g46bE3otfqgqstYkHFxjh-Ir2z2i0sf9dRghkq82clY', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36', 'Accept': 'application/json, application/octet-stream', 'Sec-Ch-Ua': '"Not(A:Brand";v="99", "Google Chrome";v="133", "Chromium";v="133"', 'Sec-Ch-Ua-Mobile': '?0', 'Origin': 'http://localhost:3000', 'Sec-Fetch-Site': 'cross-site', 'Sec-Fetch-Mode': 'cors', 'Sec-Fetch-Dest': 'empty', 'Referer': 'http://localhost:3000/', 'Accept-Encoding': 'gzip, deflate, br, zstd', 'Accept-Language': 'zh-CN,zh;q=0.9'}
INFO 2025-02-23 17:24:20,521 views 14568 21892 开始生成数据，列：['email']，行数：2
INFO 2025-02-23 17:24:20,521 views 14568 21892 开始生成数据，列：['email']，行数：2
INFO 2025-02-23 17:24:20,522 views 14568 21892 生成数据 - 列：email，值：chenyang@example.com
INFO 2025-02-23 17:24:20,522 views 14568 21892 生成数据 - 列：email，值：chenyang@example.com
INFO 2025-02-23 17:24:20,522 views 14568 21892 第 1 行数据：['chenyang@example.com']
INFO 2025-02-23 17:24:20,522 views 14568 21892 第 1 行数据：['chenyang@example.com']
INFO 2025-02-23 17:24:20,523 views 14568 21892 生成数据 - 列：email，值：li61@example.com
INFO 2025-02-23 17:24:20,523 views 14568 21892 生成数据 - 列：email，值：li61@example.com
INFO 2025-02-23 17:24:20,523 views 14568 21892 第 2 行数据：['li61@example.com']
INFO 2025-02-23 17:24:20,523 views 14568 21892 第 2 行数据：['li61@example.com']
INFO 2025-02-23 17:24:20,523 views 14568 21892 数据生成完成，总行数：2
INFO 2025-02-23 17:24:20,523 views 14568 21892 数据生成完成，总行数：2
INFO 2025-02-23 17:27:01,794 autoreload 14568 22392 P:\apps\djangoQAEP\mockData\views.py changed, reloading.
INFO 2025-02-23 17:27:02,189 autoreload 14084 14640 Watching for file changes with StatReloader
DEBUG 2025-02-23 17:27:02,355 factory 14084 14640 Not in REPL -> leaving logger event level as is.
DEBUG 2025-02-23 17:27:02,356 factory 14084 14640 Looking for locale `zh_CN` in provider `faker.providers.address`.
DEBUG 2025-02-23 17:27:02,358 factory 14084 14640 Provider `faker.providers.address` has been localized to `zh_CN`.
DEBUG 2025-02-23 17:27:02,360 factory 14084 14640 Looking for locale `zh_CN` in provider `faker.providers.automotive`.
DEBUG 2025-02-23 17:27:02,361 factory 14084 14640 Provider `faker.providers.automotive` has been localized to `zh_CN`.
